stage,group,bout,date,address,team_a,team_a_score,team_b,team_b_score,referee
第一阶段,第一阶段 - A组,第一轮,2019/11/2 - 16:00,南昌县洪州体育馆,八一南昌,3,福建安溪铁观音,0,韩 东|唐 济民
第一阶段,第一阶段 - B组,第一轮,2019/11/2 - 16:00,深圳市宝安体育馆,广东恒大,3,河南银鸽投资,0,邹 斌平|姚 鲆
第一阶段,第一阶段 - C组,第一轮,2019/11/2 - 16:00,上海卢湾体育馆,上海光明优倍,3,河北海瑞,0,魏 杰|蔡 大森
第一阶段,第一阶段 - C组,第一轮,2019/11/2 - 16:00,张店区体育馆,山东体彩,3,浙江嘉善西塘古镇,0,苟 明|王 子凌
第一阶段,第一阶段 - D组,第一轮,2019/11/2 - 16:00,常州市中天钢铁体育馆,江苏中天钢铁,3,四川劲浪体育,0,王 然|李 浩
第一阶段,第一阶段 - D组,第一轮,2019/11/2 - 16:00,红运体育馆,辽宁华君,3,云南大学滇池学院,1,邱 明强|邢 燊燊
第二阶段,第二阶段 - E组,第七轮,2019/11/30 - 16:00,北京汽车光彩体育馆,北京汽车,3,山东体彩,1,骆 文棽|戴 劲
第二阶段,第二阶段 - E组,第七轮,2019/11/30 - 16:00,上海卢湾体育馆,上海光明优倍,3,八一南昌,2,王 浩娟|杜 宁
第二阶段,第二阶段 - F组,第七轮,2019/11/30 - 16:00,天津市人民体育馆,天津渤海,3,辽宁华君,0,刘 江|郭 亮
第二阶段,第二阶段 - F组,第七轮,2019/11/30 - 16:00,盐田体育中心,广东恒大,3,江苏中天钢铁,0,钟 士礼|李 雯
第二阶段,第二阶段 - H组,第七轮,2019/11/30 - 16:00,安溪梧桐体育馆,福建安溪铁观音,3,河北海瑞,0,蔡 大森|丁 毅
第二阶段,第二阶段 - G组,第七轮,2019/11/30 - 16:00,许昌职业技术学院体育馆,河南银鸽投资,2,四川劲浪体育,3,魏 琳洁|王 峰
第三阶段,第三阶段 - 1-4,第十一轮,2019/12/24 - 19:30,上海卢湾体育馆,上海光明优倍,3,广东恒大,1,萧 洁华|王 子凌
第三阶段,第三阶段 - 1-4,第十一轮,2019/12/24 - 19:30,天津市人民体育馆,天津渤海,3,北京汽车,0,骆 文棽|王 峰
第三阶段,第三阶段 - 5-8,第十一轮,2019/12/24 - 19:30,张店区体育馆,山东体彩,3,辽宁华君,1,韩 东|郭 亮
第三阶段,第三阶段 - 5-8,第十一轮,2019/12/24 - 19:30,常州市中天钢铁体育馆,江苏中天钢铁,1,八一南昌,3,叶 贵华|丁 毅
第三阶段,第三阶段 - 9-10,第十一轮,2019/12/24 - 19:30,嘉善县体育馆,浙江嘉善西塘古镇,3,四川劲浪体育,0,梁 燕茵|姜 欢环
第三阶段,第三阶段 - 11-12,第十一轮,2019/12/24 - 19:30,曲靖市文化体育公园体育馆,云南大学滇池学院,3,福建安溪铁观音,0,李 运|王 冬
第三阶段,第三阶段 - 13-14,第十一轮,2019/12/24 - 19:30,许昌职业技术学院体育馆,河南银鸽投资,3,河北海瑞,1,唐 济民|李 子林
第四阶段,第四阶段 - 1-2,第十四轮,2020/1/7 - 19:30,天津市人民体育馆,天津渤海,3,上海光明优倍,0,范 高翔|孙 学斌
第四阶段,第四阶段 - 3-4,第十四轮,2020/1/7 - 19:30,北京汽车光彩体育馆,北京汽车,3,广东恒大,0,韩 东|杨 俊峰
第四阶段,第四阶段 - 5-6,第十四轮,2020/1/7 - 19:30,常州市中天钢铁体育馆,江苏中天钢铁,3,辽宁华君,0,魏 杰|李 亮亮
第四阶段,第四阶段 - 7-8,第十四轮,2020/1/7 - 19:30,张店区体育馆,山东体彩,3,八一南昌,0,张 涛|邓 雪震
第一阶段,第一阶段 - A组,第一轮,2019/11/2 - 16:00,南昌县洪州体育馆,八一南昌,3,福建安溪铁观音,0,韩 东|唐 济民
第一阶段,第一阶段 - B组,第一轮,2019/11/2 - 16:00,深圳市宝安体育馆,广东恒大,3,河南银鸽投资,0,邹 斌平|姚 鲆
第一阶段,第一阶段 - C组,第一轮,2019/11/2 - 16:00,上海卢湾体育馆,上海光明优倍,3,河北海瑞,0,魏 杰|蔡 大森
第一阶段,第一阶段 - C组,第一轮,2019/11/2 - 16:00,张店区体育馆,山东体彩,3,浙江嘉善西塘古镇,0,苟 明|王 子凌
第一阶段,第一阶段 - D组,第一轮,2019/11/2 - 16:00,常州市中天钢铁体育馆,江苏中天钢铁,3,四川劲浪体育,0,王 然|李 浩
第一阶段,第一阶段 - D组,第一轮,2019/11/2 - 16:00,红运体育馆,辽宁华君,3,云南大学滇池学院,1,邱 明强|邢 燊燊
第二阶段,第二阶段 - E组,第七轮,2019/11/30 - 16:00,北京汽车光彩体育馆,北京汽车,3,山东体彩,1,骆 文棽|戴 劲
第二阶段,第二阶段 - E组,第七轮,2019/11/30 - 16:00,上海卢湾体育馆,上海光明优倍,3,八一南昌,2,王 浩娟|杜 宁
第二阶段,第二阶段 - F组,第七轮,2019/11/30 - 16:00,天津市人民体育馆,天津渤海,3,辽宁华君,0,刘 江|郭 亮
第二阶段,第二阶段 - F组,第七轮,2019/11/30 - 16:00,盐田体育中心,广东恒大,3,江苏中天钢铁,0,钟 士礼|李 雯
第二阶段,第二阶段 - H组,第七轮,2019/11/30 - 16:00,安溪梧桐体育馆,福建安溪铁观音,3,河北海瑞,0,蔡 大森|丁 毅
第二阶段,第二阶段 - G组,第七轮,2019/11/30 - 16:00,许昌职业技术学院体育馆,河南银鸽投资,2,四川劲浪体育,3,魏 琳洁|王 峰
第三阶段,第三阶段 - 1-4,第十一轮,2019/12/24 - 19:30,上海卢湾体育馆,上海光明优倍,3,广东恒大,1,萧 洁华|王 子凌
第三阶段,第三阶段 - 1-4,第十一轮,2019/12/24 - 19:30,天津市人民体育馆,天津渤海,3,北京汽车,0,骆 文棽|王 峰
第三阶段,第三阶段 - 5-8,第十一轮,2019/12/24 - 19:30,张店区体育馆,山东体彩,3,辽宁华君,1,韩 东|郭 亮
第三阶段,第三阶段 - 5-8,第十一轮,2019/12/24 - 19:30,常州市中天钢铁体育馆,江苏中天钢铁,1,八一南昌,3,叶 贵华|丁 毅
第三阶段,第三阶段 - 9-10,第十一轮,2019/12/24 - 19:30,嘉善县体育馆,浙江嘉善西塘古镇,3,四川劲浪体育,0,梁 燕茵|姜 欢环
第三阶段,第三阶段 - 11-12,第十一轮,2019/12/24 - 19:30,曲靖市文化体育公园体育馆,云南大学滇池学院,3,福建安溪铁观音,0,李 运|王 冬
第三阶段,第三阶段 - 13-14,第十一轮,2019/12/24 - 19:30,许昌职业技术学院体育馆,河南银鸽投资,3,河北海瑞,1,唐 济民|李 子林
第四阶段,第四阶段 - 1-2,第十四轮,2020/1/7 - 19:30,天津市人民体育馆,天津渤海,3,上海光明优倍,0,范 高翔|孙 学斌
第四阶段,第四阶段 - 3-4,第十四轮,2020/1/7 - 19:30,北京汽车光彩体育馆,北京汽车,3,广东恒大,0,韩 东|杨 俊峰
第四阶段,第四阶段 - 5-6,第十四轮,2020/1/7 - 19:30,常州市中天钢铁体育馆,江苏中天钢铁,3,辽宁华君,0,魏 杰|李 亮亮
第四阶段,第四阶段 - 7-8,第十四轮,2020/1/7 - 19:30,张店区体育馆,山东体彩,3,八一南昌,0,张 涛|邓 雪震
